Rank,City,Population,County
564,Leesburg,1323,NaaC
565,Minerva Park,1321,NaaC
566,Frazeysburg,1316,NaaC
567,Boston Heights,1314,NaaC
568,Stony Prairie,1307,NaaC
569,Green Springs,1306,NaaC
570,Stryker,1300,NaaC
571,Wetherington,1283,NaaC
572,De Graff,1276,NaaC
573,Tiltonsville,1274,NaaC
574,Walnut Creek,1271,NaaC
575,Smithville,1259,NaaC
576,Gnadenhutten,1258,NaaC
577,Pleasant Hill,1254,NaaC
578,Millbury,1247,NaaC
579,Eaton Estates,1244,NaaC
580,Fayette,1241,NaaC
581,Haskins,1237,NaaC
582,Wolfhurst,1232,NaaC
583,New Vienna,1228,NaaC
584,La Croft,1226,NaaC
585,Coldstream,1224,NaaC
586,Salineville,1218,NaaC
587,Bethesda,1212,NaaC
588,Clinton,1209,NaaC
589,Hanover,1204,NaaC
590,New Madison,1201,NaaC
591,Geneva-on-the-Lake,1199,NaaC
592 TIE,Apple Creek and New Waterford,1180,NaaC
593,Westfield Center,1179,NaaC
594,Jeffersonville,1172,NaaC
595 TIE,Bratenahl and Hiram,1159,NaaC
596,Botkins,1158,NaaC
597,Grandview,1149,NaaC
598,Payne,1139,NaaC
599,Reno,1138,NaaC
600,Lake Lorelei,1137,NaaC
601,Sardinia,1136,NaaC
602,Malvern,1130,NaaC
603 TIE,Ansonia and Liberty Center,1121,NaaC
604,Blue Jay,1111,NaaC
605,Craig Beach,1110,NaaC
606 TIE,Pandora and Maineville,1107,NaaC
607,Lakeview,1106,NaaC
608,Rockford,1104,NaaC
609,Continental,1101,NaaC
610,Andover,1095,NaaC
611 TIE,Cinnamon Lake and Lowellville,1092,NaaC
612,Fairfield Beach,1084,NaaC
613,Atwater,1078,NaaC
614,Williamsdale,1076,NaaC
615 TIE,Williamsport and Millersport,1074,NaaC
616 TIE,Holgate and Convoy,1059,NaaC
617,Prospect,1058,NaaC
618,Sciotodale,1057,NaaC
619,Tuscarawas,1053,NaaC
620,Duncan Falls,1052,NaaC
621,Frankfort,1048,NaaC
622,Luckey,1044,NaaC
623,Chauncey,1035,NaaC
624,Wakeman,1032,NaaC
625,Glandorf,1025,NaaC
626,Logan Elm Village,1022,NaaC
627,Mantua,1020,NaaC
628,Bradner,1018,NaaC
629,Kingston,1017,NaaC
630,Danville,1015,NaaC
631,Thornville,1008,NaaC
632,Winchester,1006,NaaC
633,Yorkville,1005,NaaC
634,Grand Rapids,1004,NaaC
635,Farmersville,1002,NaaC
636 TIE,Urbancrest and Lake Waynoka,993,NaaC
637,North Randall,988,NaaC
638,Beach City,981,NaaC
639,Bolivar,970,NaaC
640 TIE,Thornport and Ottoville,964,NaaC
641,Magnolia,962,NaaC
642,Highland Hills,960,NaaC
643,Pleasantville,959,NaaC
644,Etna,948,NaaC
645,Addyston,936,NaaC
646 TIE,Hilltop and Beloit,924,NaaC
647,Kidron,922,NaaC
648,Wayne,921,NaaC
649 TIE,New Washington and New Baltimore,920,NaaC
650 TIE,Killbuck and Glenwillow,919,NaaC
651,Bloomingburg,915,NaaC
652,Bloomville,911,NaaC
653,Waynesburg,908,NaaC
654,Darbydale,904,NaaC
655,Hopedale,903,NaaC
656,Milford Center,902,NaaC
657,Seaman,895,NaaC
658 TIE,South Canal and Butler,894,NaaC
659,Albany,891,NaaC
660,North Perry,884,NaaC
661,North Bend,873,NaaC
662,Newport,867,NaaC
663,New Knoxville,866,NaaC
664,Matamoras,865,NaaC
665 TIE,Hamden and Marblehead,864,NaaC
666,Berlin,863,NaaC
667,Attica,861,NaaC
668,Felicity,858,NaaC
669 TIE,"Woodmere, Andersonville, and Maple Ridge",853,NaaC
670,New Holland,851,NaaC
671,Bainbridge,850,NaaC
672,Bentleyville,846,NaaC
673,Gratis,843,NaaC
674,Dunkirk,840,NaaC
675,Alger,839,NaaC
676,Flushing,832,NaaC
677,Owensville,828,NaaC
678,Shawnee Hills,820,NaaC
679,Belle Center,818,NaaC
680,Waynesfield,817,NaaC
681,Syracuse,816,NaaC
682,Castalia,815,NaaC
683,Sycamore,814,NaaC
684,Sherwood village,811,NaaC
685,Edon,810,NaaC
686 TIE,South Webster and Junction City,805,NaaC
687,East Sparta,799,NaaC
688,Smithfield,790,NaaC
689,Spencer,789,NaaC
690,Seven Mile,784,NaaC
691 TIE,Rio Grande and Lake Tomahawk,781,NaaC
692,Pleasant Hills,779,NaaC
693 TIE,Marshallville and Baltic,776,NaaC
694,Morgandale,753,NaaC
695,Gettysburg,752,NaaC
696,Washingtonville,750,NaaC
697,Ostrander,749,NaaC
698,Chippewa Lake,745,NaaC
699,Midvale,744,NaaC
700,Galena,742,NaaC
701,Arlington Heights,741,NaaC
702,Amanda,738,NaaC
703,Twinsburg Heights,735,NaaC
704,Millville,733,NaaC
705,Marble Cliff,732,NaaC
706,Nevada,729,NaaC
707,Philo,728,NaaC
708,Pigeon Creek,721,NaaC
709,Chippewa Park,720,NaaC
710,Perrysville,717,NaaC
711,Scio,716,NaaC
712,Hunting Valley,715,NaaC
713,La Rue,714,NaaC
