Rank,Zip Code,Population
994,45673,367
995,45032,364
996 TIE,45808 and 43961,363
997,45378,362
998,43322,355
999,45358,348
"1,000",43158,345
"1,001",44678,344
"1,002",45428,335
"1,003",43519,333
"1,004",44874,331
"1,005 TIE","43842, 45307, and 45816",330
"1,006 TIE",45361 and 43529,328
"1,007",45111,324
"1,008",44809,321
"1,009",45372,319
"1,010",43151,316
"1,011",43555,313
"1,012",45621,309
"1,013",43531,308
"1,014",43722,306
"1,015",45698,305
"1,016",43037,301
"1,017",43033,298
"1,018",43456,291
"1,019",44671,290
"1,020",43111,289
"1,021",43101,285
"1,022",45617,279
"1,023",43740,277
"1,024",44687,275
"1,025",45671,274
"1,026 TIE","43036, 45310, and 43408",270
"1,027",45819,265
"1,028",44856,263
"1,029",44838,261
"1,030",43010,260
"1,031",43321,256
"1,032",45033,249
"1,033 TIE",45870 and 44274,246
"1,034",45352,242
"1,035",45164,241
"1,036",43127,240
"1,037",43926,236
"1,038",44640,235
"1,039",45131,227
"1,040",44049,224
"1,041",44690,213
"1,042 TIE",45351 and 43117,212
"1,043",45861,207
"1,044",44697,204
"1,045",43438,202
"1,046 TIE",43005 and 43156,201
"1,047",43914,194
"1,048 TIE",45147 and 45172,191
"1,049",45888,188
"1,050",45070,185
"1,051",43547,179
"1,052",44607,178
"1,053",45051,174
"1,054",44670,172
"1,055",45864,168
"1,056",45809,163
"1,057 TIE",43536 and 45336,161
"1,058",44610,160
"1,059",43070,159
"1,060",45884,158
"1,061",45855,154
"1,062 TIE",43317 and 44661,153
"1,063",45789,150
"1,064",44439,147
"1,065 TIE",43717 and 45115,143
"1,066 TIE",45353 and 45866,142
"1,067",43541,140
"1,068",43553,139
"1,069",45622,138
"1,070",44659,136
"1,071",45301,130
"1,072",43927,124
"1,073",43972,121
"1,074",45636,120
"1,075",43330,119
"1,076 TIE",43711 and 43902,116
"1,077",43750,115
"1,078",43030,113
"1,079",45899,110
"1,080 TIE",43836 and 45316,108
"1,081",43905,107
"1,082",45350,106
"1,083",43738,103
"1,084 TIE","43142, 44825, and 43940",102
"1,085",43985,93
"1,086 TIE",43962 and 44080,92
"1,087",43446,88
"1,088",45041,87
"1,089 TIE",43467 and 43433,85
"1,090",45112,84
"1,091",43109,82
"1,092 TIE",43805 and 43721,81
"1,093 TIE",43970 and 45630,80
"1,094",43974,75
"1,095 TIE",45156 and 44828,73
"1,096",45773,70
"1,097",45166,69
"1,098",45838,66
"1,099",44861,65
"1,100",43951,64
"1,101",45787,63
"1,102",43434,61
"1,103",43759,57
"1,104",43439,53
"1,105",43505,52
"1,106",43761,49
"1,107",44850,43
"1,108",44693,41
"1,109",43463,39
"1,110",45897,36
"1,111 TIE",43736 and 43786,35
"1,112",45721,34
"1,113",44652,32
"1,114",44493,29
"1,115",44285,25
"1,116",43928,21
"1,117",43523,20
"1,118 TIE",43032 and 45145,19
"1,119",44816,16
"1,120",45618,13
