ZipCode,Population,case_count_cumulative,case_count_last_30_days,case_count_last_14_days,case_count_per_100K_cumulative,case_count_per_100K_last_30_days,case_count_per_100K_last_14_days,population_density,num_universities,num_uni_students
43318,4537,92,43,21,2027.8,947.8,462.9,75.8,0,0
43319,926,22,12,None,2375.8,1295.9,None,43.2,0,0
43320,1524,49,23,13,3215.2,1509.2,853,50.9,0,0
43321,256,None,None,None,None,None,None,387.1,0,0
43322,355,10,8,None,2816.9,2253.5,None,1002.8,0,0
43323,699,26,14,5,3719.6,2002.9,715.3,16.3,0,0
43324,2963,84,40,16,2835.0,1350.0,540,78.4,0,0
43325,None,None,None,None,None,None,None,None,0,0
43326,13745,514,326,206,3739.5,2371.8,1498.7,71.8,0,0
43330,119,None,None,None,None,None,None,983.7,0,0
43331,4507,149,96,28,3306.0,2130.0,621.3,126.3,0,0
43332,1734,55,34,19,3171.9,1960.8,1095.7,27.0,0,0
43333,509,20,8,None,3929.3,1571.7,None,18.9,0,0
43334,6317,157,91,41,2485.4,1440.6,649,104.0,0,0
43335,None,None,None,None,None,None,None,None,0,0
43336,None,None,None,None,None,None,None,483.5,0,0
43337,1149,37,23,11,3220.2,2001.7,957.4,34.8,0,0
43338,10164,372,157,77,3660.0,1544.7,757.6,105.4,0,0
43340,1845,39,27,9,2113.8,1463.4,487.8,41.4,0,0
43341,948,38,22,13,4008.4,2320.7,1371.3,63.6,0,0
43342,2861,115,59,18,4019.6,2062.2,629.2,75.6,0,0
43343,1012,36,16,10,3557.3,1581.0,988.1,41.0,0,0
43344,5996,128,78,24,2134.8,1300.9,400.3,55.7,0,0
43345,742,35,21,12,4717.0,2830.2,1617.3,24.8,0,0
43346,None,None,None,None,None,None,None,None,0,0
43347,1501,36,19,11,2398.4,1265.8,732.8,47.3,0,0
43348,1736,61,42,19,3513.8,2419.4,1094.5,609.5,0,0
43349,None,None,None,None,None,None,None,None,0,0
43350,None,None,None,None,None,None,None,None,0,0
43351,10013,417,241,77,4164.6,2406.9,769,69.5,0,0
43356,1388,37,16,6,2665.7,1152.7,432.3,45.5,0,0
43357,3921,112,78,32,2856.4,1989.3,816.1,68.7,0,0
43358,2588,70,40,15,2704.8,1545.6,579.6,46.5,0,0
43359,818,21,8,5,2567.2,978,611.2,33.7,0,0
43360,1600,39,24,13,2437.5,1500.0,812.5,57.7,0,0
43402,32259,1422,511,214,4408.1,1584.1,663.4,291.4,0,0
43403,5501,185,60,29,3363.0,1090.7,527.2,26766.8,1,17959
43406,1920,58,14,None,3020.8,729.2,None,94.5,0,0
43407,729,16,None,None,2194.8,None,None,46.7,0,0
43408,270,15,6,None,5555.6,2222.2,None,444.2,0,0
43410,10030,338,167,59,3369.9,1665.0,588.2,199.8,0,0
43412,4373,128,60,19,2927.1,1372.1,434.5,151.7,0,0
43413,1522,44,20,12,2890.9,1314.1,788.4,41.4,0,0
43414,None,None,None,None,None,None,None,None,0,0
43416,2989,74,38,21,2475.7,1271.3,702.6,103.3,0,0
43420,30133,860,436,187,2854.0,1446.9,620.6,220.2,1,3222
43430,4504,176,64,24,3907.6,1421.0,532.9,199.4,0,0
43431,4868,208,55,19,4272.8,1129.8,390.3,92.3,0,0
43432,1278,38,14,9,2973.4,1095.5,704.2,64.2,0,0
43433,85,None,None,None,None,None,None,40.0,0,0
43434,61,None,None,None,None,None,None,6837.2,0,0
43435,1345,41,24,None,3048.3,1784.4,None,38.5,0,0
43436,None,None,None,None,None,None,None,None,0,0
43437,578,11,None,None,1903.1,None,None,474.0,0,0
43438,202,6,5,None,2970.3,2475.2,None,38.6,0,0
43439,53,None,None,None,None,None,None,397.7,0,0
43440,4738,145,87,30,3060.4,1836.2,633.2,266.1,0,0
43441,None,None,None,None,None,None,None,None,0,0
43442,1170,16,8,None,1367.5,683.8,None,68.1,0,0
43443,1920,53,27,11,2760.4,1406.3,572.9,154.1,0,0
43445,1239,26,12,7,2098.5,968.5,565,58.5,0,0
43446,88,None,None,None,None,None,None,118.6,0,0
43447,3645,119,51,13,3264.7,1399.2,356.7,199.8,0,0
43449,8219,183,94,38,2226.5,1143.7,462.3,93.7,0,0
43450,3636,104,47,16,2860.3,1292.6,440,84.5,0,0
43451,1251,29,10,None,2318.1,799.4,None,35.6,0,0
43452,13674,469,226,72,3429.9,1652.8,526.5,262.0,0,0
43456,291,51,None,None,17525.8,None,None,137.1,0,0
43457,1536,54,24,11,3515.6,1562.5,716.1,74.1,0,0
43458,521,None,None,None,None,None,None,391.4,0,0
43460,6498,251,107,38,3862.7,1646.7,584.8,2086.6,0,0
43462,1191,32,17,12,2686.8,1427.4,1007.6,40.0,0,0
43463,39,None,None,None,None,None,None,2134.4,0,0
43464,1377,44,21,None,3195.4,1525.1,None,38.0,0,0
43465,5273,163,65,26,3091.2,1232.7,493.1,481.8,0,0
43466,2059,53,30,10,2574.1,1457.0,485.7,84.3,0,0
43467,85,None,None,None,None,None,None,334.5,0,0
43468,401,35,17,5,8728.2,4239.4,1246.9,492.6,0,0
43469,2948,90,54,22,3052.9,1831.8,746.3,128.7,0,0
43501,870,23,13,None,2643.7,1494.3,None,26.5,0,0
43502,6609,201,118,47,3041.3,1785.4,711.2,97.8,1,3612
43504,1261,31,19,7,2458.4,1506.7,555.1,77.8,0,0
43505,52,None,None,None,None,None,None,642.6,0,0
43506,14192,478,278,106,3368.1,1958.9,746.9,142.6,0,0
43510,None,None,None,None,None,None,None,None,0,0
43511,1075,23,7,None,2139.5,651.2,None,19.2,0,0
43512,27951,1204,621,180,4307.5,2221.7,644,126.2,1,920
43515,8582,197,109,48,2295.5,1270.1,559.3,100.7,0,0
43516,2742,92,43,17,3355.2,1568.2,620,42.1,0,0
43517,4134,108,54,15,2612.5,1306.2,362.8,58.5,0,0
43518,2524,76,46,18,3011.1,1822.5,713.2,37.4,0,0
43519,333,5,None,None,1501.5,None,None,167.2,0,0
43520,None,None,None,None,None,None,None,None,0,0
43521,2742,80,51,23,2917.6,1860.0,838.8,42.6,0,0
43522,3291,68,35,15,2066.2,1063.5,455.8,85.1,0,0
43523,20,None,None,None,None,None,None,45.2,0,0
43524,1302,33,12,None,2534.6,921.7,None,37.3,0,0
43525,1096,47,18,6,4288.3,1642.3,547.4,1058.8,0,0
43526,5890,203,137,42,3446.5,2326.0,713.1,71.2,0,0
43527,1986,161,79,36,8106.7,3977.8,1812.7,44.4,0,0
43528,15919,685,280,141,4303.0,1758.9,885.7,884.2,0,0
43529,328,None,None,None,None,None,None,389.0,0,0
43530,None,None,None,None,None,None,None,None,0,0
43531,308,None,None,None,None,None,None,475.6,0,0
43532,3972,84,30,13,2114.8,755.3,327.3,88.1,0,0
43533,1702,41,17,7,2408.9,998.8,411.3,55.6,0,0
43534,1739,54,25,13,3105.2,1437.6,747.6,44.7,0,0
43535,719,28,13,None,3894.3,1808.1,None,34.2,0,0
43536,161,8,6,None,4968.9,3726.7,None,42.1,0,0
43537,27097,1226,535,267,4524.5,1974.4,985.3,1399.6,0,0
43540,1358,47,23,5,3461.0,1693.7,368.2,88.9,0,0
43541,140,6,None,None,4285.7,None,None,359.7,0,0
43542,3687,172,89,52,4665.0,2413.9,1410.4,261.4,0,0
43543,7785,216,144,42,2774.6,1849.7,539.5,95.1,0,0
43545,14182,579,228,77,4082.6,1607.7,542.9,105.1,0,0
43547,179,6,6,5,3352.0,3352.0,2793.3,773.4,0,0
