Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43505,52,N/A,N/A,N/A,N/A,N/A,N/A
43506,14192,478,278,106,3368.10,1958.90,746.9
43511,1075,23,7,N/A,2139.50,651.2,N/A
43512,27951,1204,621,180,4307.50,2221.70,644
43515,8582,197,109,48,2295.50,1270.10,559.3
43516,2742,92,43,17,3355.20,1568.20,620
43517,4134,108,54,15,2612.50,1306.20,362.8
43518,2524,76,46,18,3011.10,1822.50,713.2
43519,333,5,N/A,N/A,1501.50,N/A,N/A
43521,2742,80,51,23,2917.60,1860.00,838.8
43522,3291,68,35,15,2066.20,1063.50,455.8
43523,20,N/A,N/A,N/A,N/A,N/A,N/A
43524,1302,33,12,N/A,2534.60,921.7,N/A
43525,1096,47,18,6,4288.30,1642.30,547.4
43526,5890,203,137,42,3446.50,2326.00,713.1
43527,1986,161,79,36,8106.70,3977.80,1812.70
43528,15919,685,280,141,4303.00,1758.90,885.7
43529,328,N/A,N/A,N/A,N/A,N/A,N/A
43531,308,N/A,N/A,N/A,N/A,N/A,N/A
43532,3972,84,30,13,2114.80,755.3,327.3
43533,1702,41,17,7,2408.90,998.8,411.3
43534,1739,54,25,13,3105.20,1437.60,747.6
43535,719,28,13,N/A,3894.30,1808.10,N/A
43536,161,8,6,N/A,4968.90,3726.70,N/A
43537,27097,1226,535,267,4524.50,1974.40,985.3
43540,1358,47,23,5,3461.00,1693.70,368.2
43541,140,6,N/A,N/A,4285.70,N/A,N/A
43542,3687,172,89,52,4665.00,2413.90,1410.40
43543,7785,216,144,42,2774.60,1849.70,539.5
43545,14182,579,228,77,4082.60,1607.70,542.9
43547,179,6,6,5,3352.00,3352.00,2793.30
43548,587,29,10,N/A,4940.40,1703.60,N/A
43549,1310,40,26,10,3053.40,1984.70,763.4
43551,38839,1678,736,329,4320.40,1895.00,847.1
43553,139,14,5,N/A,10071.90,3597.10,N/A
43554,2371,71,51,11,2994.50,2151.00,463.9
43555,313,8,6,N/A,2555.90,1916.90,N/A
43556,1765,50,34,17,2832.90,1926.30,963.2
43557,3324,119,47,23,3580.00,1414.00,691.9
43558,12662,468,230,96,3696.10,1816.50,758.2
43560,32275,1347,612,261,4173.50,1896.20,808.7
43565,502,10,7,5,1992.00,1394.40,996
43566,7926,342,152,72,4314.90,1917.70,908.4
43567,13247,511,247,94,3857.50,1864.60,709.6
43569,2896,58,26,16,2002.80,897.8,552.5
43570,3195,113,60,23,3536.80,1877.90,719.9
43571,7526,273,141,56,3627.40,1873.50,744.1
43604,8920,348,104,49,3901.30,1165.90,549.3
43605,26096,605,185,97,2318.40,708.9,371.7
43606,25219,839,307,153,3326.90,1217.30,606.7
43607,21117,791,206,112,3745.80,975.5,530.4
43608,14570,431,124,81,2958.10,851.1,555.9
43609,21936,630,195,108,2872.00,888.9,492.3
43610,4343,117,43,25,2694.00,990.1,575.6
43611,18579,619,299,156,3331.70,1609.30,839.7
43612,29686,895,347,161,3014.90,1168.90,542.3
